"","Item_Number","Set_Name","Theme","Pieces","Price","Amazon_Price","Year","Ages","Pages","Minifigures","Packaging","Weight","Unique_Pieces","Availability","Size"
"5",41901,"Funky Animals Bracelet","DOTS",33,"$4.99 ","$4.99 ",2020,"Ages_6+",NA,NA,"Foil pack",NA,10,"Retail","Small"
"196",10885,"My First Fun Puzzle","DUPLO®",15,"$19.99 ","$19.55 ",2019,"Ages_1½+",9,NA,NA,NA,15,NA,"Large"
"47",43173,"Aurora's Royal Carriage","Disney™",62,"$9.99 ","$9.72 ",2020,"Ages_5+",28,1,"Box",NA,35,"Retail","Small"
"66",31101,"Monster Truck","Creator 3-in-1",163,"$14.99 ","$11.99 ",2020,"Ages_7+",136,NA,"Box",NA,54,"Retail","Small"
"25",10900,"Police Bike","DUPLO®",8,"$9.99 ","$8.99 ",2019,"Ages_2+",10,1,"Box","0.18Kg (0.4 lb)",7,"Retail","Large"
"8",41911,"Go Team! Bracelet","DOTS",33,"$4.99 ","$4.99 ",2020,"Ages_6+",NA,NA,"Foil pack",NA,12,"Retail","Small"
"97",41384,"Andrea's Summer Heart Box","Friends",83,"$7.99 ","$14.99 ",2019,"Ages_6+",36,1,"Other",NA,46,"Retail","Small"
"40",60224,"Satellite Service Mission","City",84,"$9.99 ","$8.99 ",2019,"Ages_5+",56,1,"Box","0.15Kg (0.34 lb)",52,"Retail","Small"
"41",60247,"Forest Fire","City",84,"$9.99 ","$8.99 ",2020,"Ages_5+",56,1,"Box","0.13Kg (0.3 lb)",49,"Retail","Small"
"171",70661,"Spinjitzu Zane","NINJAGO®",109,"$9.99 ","$17.99 ",2019,"Ages_7+",32,1,"Box","0.13Kg (0.29 lb)",21,"Retail","Small"
"143",60178,"Speed Record Car","City",78,"$9.99 ","$16.98 ",2018,"Ages_5-12",40,1,"Box",NA,47,"Retail","Small"
"72",75892,"McLaren Senna","Speed Champions",219,"$14.99 ","$12.93 ",2019,"Ages_7+",64,1,"Box","0.25Kg (0.55 lb)",92,"Retail","Small"
"113",75945,"Expecto Patronum","Harry Potter™",121,"$19.99 ","$15.99 ",2019,"Ages_7+",48,3,"Box",NA,55,"Retail","Small"
"50",21162,"The Taiga Adventure","Minecraft™",74,"$9.99 ","$9.84 ",2020,"Ages_7+",40,2,"Box",NA,48,"Retail","Small"
"43",41451,"Unikitty Cloud Car","Unikitty!™",126,"$9.99 ","$9.17 ",2018,"Ages_5-12",60,3,"Box","0.14Kg (0.31 lb)",83,"Retail","Small"
"80",10714,"Blue Baseplate","Classic",1,"$7.99 ","$13.48 ",2018,"Ages_4-99",NA,NA,NA,"0.1Kg (0.22 lb)",1,"Retail","Small"
